S. No.,Name of State Road Transport Undertaking (SRTU),Revenue/Km(Paise) - 2016-17,Revenue/Km(Paise) - 2015-16,Revenue/Bus/Day (Rs.) - 2016-17,Revenue/Bus/Day (Rs.) - 2015-16,Cost/KM (paise) - 2016-17,Cost/KM (paise) - 2015-16,Cost/Bus/Day (Rs.) - 2016-17,Cost/Bus/Day (Rs.) - 2015-16,Profit/Loss per Km (Paise) - 2016-17,Profit/Loss per Km (Paise) - 2015-16,Profit/Loss per Bus/Day (Rs.) - 2016-17,Profit/Loss per Bus/Day (Rs.) - 2015-16,Staff Cost as % of Total Cost - 2016-17,Staff Cost as % of Total Cost - 2015-16,Fuel and Lubricant Cost as % of Total Cost - 2016-17,Fuel and Lubricant Cost as % of Total Cost - 2015-16,Tyres and Tubes Cost as % of Total Cost - 2016-17,Tyres and Tubes Cost as % of Total Cost - 2015-16,Spares Cost as % of Total Cost - 2016-17,Spares Cost as % of Total Cost - 2015-16,Interest Cost as % of Total Cost - 2016-17,Interest Cost as % of Total Cost - 2015-16,Depreciation Cost as % of Total Cost - 2016-17,Depreciation Cost as % of Total Cost - 2015-16,Payments to Hired Buses as % of Total Cost - 2016-17,Payments to Hired Buses as % of Total Cost - 2015-16,Payment for accidents compensation as % of Total Cost - 2016-17,Payment for accidents compensation as % of Total Cost - 2015-16,Tax Cost as % of Total Cost - 2016-17,Tax Cost as % of Total Cost - 2015-16,Other Costs as % of Total Cost - 2016-17,Other Costs as % of Total Cost - 2015-16,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Payments to Hired Buses per Revenue Earning Km ((Rs./Rev. Earning Kms) - 2016-17,Payments to Hired Buses per Revenue Earning Km (Rs./Rev. Earning Kms) - 2015-16,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2015-16
49,Pune Mahamandal ,6594,6676,9658,10104,8519,8101,12478,12260,-1925,-1425,-2819,-2157,53.89,53.29,9.76,9.67,2.55,2.95,0.00,0.00,0.44,0.41,1.28,3.08,28.15,26.53,0.22,0.42,0.37,0.67,3.34,2.97,45.91,43.18,8.31,7.84,2.17,2.39,0.00,0.00,0.38,0.33,1.09,2.49,23.98,21.50,0.18,0.34,0.31,0.54,2.84,2.41
50,Solapur MT,4164,2913,3630,4661,4450,2316,3880,3705,-287,598,-250,956,51.45,54.04,35.10,31.24,0.00,0.00,5.25,3.90,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.03,1.23,1.60,6.61,9.19,22.90,12.51,15.62,7.23,0.00,0.00,2.34,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.01,0.55,0.37,2.94,2.13
51,Thane MT,6107,6792,5217,6902,10029,10116,8568,10280,-3922,-3324,-3351,-3378,60.49,55.84,20.33,24.15,0.72,1.08,7.71,5.73,0.00,0.00,0.00,0.00,0.00,0.00,0.85,1.70,0.92,4.99,8.98,6.51,60.66,56.49,20.39,24.43,0.72,1.10,7.73,5.80,0.00,0.00,0.00,0.00,0.00,0.00,0.85,1.72,0.92,5.04,9.01,6.59
52,Kalyan Dombivali MT,8581,7410,7282,7009,11306,11091,9595,10490,-2725,-3681,-2313,-3482,30.46,25.89,25.14,20.41,0.69,0.79,0.12,0.02,41.27,51.64,0.00,0.00,0.00,0.00,0.03,1.10,2.29,0.15,0.00,0.00,34.43,28.72,28.42,22.64,0.78,0.88,0.14,0.02,46.66,57.27,0.00,0.00,0.00,0.00,0.03,1.22,2.59,0.17,0.00,0.00
NA,Total Muncipal undertakings,5667,5669,8416,8753,9313,9061,13829,13989,-3645,-3391,-5413,-5236,60.84,60.12,14.23,14.69,1.08,1.22,2.51,2.20,3.21,3.41,1.63,1.91,8.97,7.86,0.08,0.16,1.49,2.10,5.97,6.33,56.66,54.48,13.25,13.31,1.00,1.11,2.34,2.00,2.99,3.09,1.52,1.73,8.35,7.12,0.07,0.15,1.39,1.90,5.56,5.73
53,HIMCHAHL PRADESH TDCL,NA,NA,302,468,NA,NA,12539,12373,NA,NA,-12237,-11905,49.71,49.07,25.85,25.53,1.93,1.61,1.01,1.03,0.00,0.00,2.00,3.37,0.00,0.00,0.00,0.00,19.50,19.40,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,DELHI INTEGRATED MTS,2965,2817,5126,5672,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total Associate members,2967,2820,5077,5608,75,76,128,152,2892,2743,4949,5457,49.71,49.07,25.85,25.53,1.93,1.61,1.01,1.03,0.00,0.00,2.00,3.37,0.00,0.00,0.00,0.00,19.50,19.40,0.00,0.00,0.37,0.37,0.19,0.19,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.00
55,MEERUT CIY TSL,2203,2013,4051,4057,2370,2063,4359,4159,-167,-51,-308,-102,21.27,21.14,50.82,50.13,23.79,23.12,0.00,0.00,0.00,0.00,0.00,1.76,0.00,0.00,0.00,0.00,2.50,0.78,1.62,3.07,5.04,4.36,12.05,10.34,5.64,4.77,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.59,0.16,0.39,0.63
56,KANPUR CITY TSL,11741,13987,1331,803,4432,9142,502,525,7308,4846,828,278,35.75,20.08,1.14,3.62,16.51,27.40,33.64,39.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.96,9.53,0.00,0.00,15.84,18.36,0.51,3.31,7.32,25.05,14.91,35.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.74,8.71,0.00,0.00
NA,Total Special Purpose Vehicle,3365,2734,2168,1804,2622,2490,1689,1643,743,244,479,161,24.25,20.90,40.59,39.84,22.29,24.07,6.93,8.71,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,4.65,2.71,1.29,2.39,6.36,5.20,10.64,9.92,5.84,5.99,1.82,2.17,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,1.22,0.68,0.34,0.60
NA,Total (Reporting SRTUs),3343,3312,10258,10180,4179,3993,12822,12273,-836,-681,-2565,-2093,44.58,44.41,25.96,25.04,1.50,1.75,2.14,2.20,8.88,8.30,3.18,3.61,2.50,2.86,0.85,0.83,5.65,5.75,4.77,5.25,18.63,17.73,10.85,10.00,0.63,0.70,0.89,0.88,3.71,3.31,1.33,1.44,1.04,1.14,0.35,0.33,2.36,2.30,1.99,2.10
