S. No.,Name of State Road Transport Undertaking (SRTU),Revenue/Km(Paise) - 2018-19,Revenue/Km(Paise) - 2017-18,Revenue/Km(Paise) - 2016-17,Revenue/Bus/Day (Rs.) - 2018-19,Revenue/Bus/Day (Rs.) - 2017-18,Revenue/Bus/Day (Rs.) - 2016-17,Cost/KM (paise) - 2018-19,Cost/KM (paise) - 2017-18,Cost/KM (paise) - 2016-17,Cost/Bus/Day (Rs.) - 2018-19,Cost/Bus/Day (Rs.) - 2017-18,Cost/Bus/Day (Rs.) - 2016-17,Profit/Loss per Km (Paise) - 2018-19,Profit/Loss per Km (Paise) - 2017-18,Profit/Loss per Km (Paise) - 2016-17,Profit/Loss per Bus/Day (Rs.) - 2018-19,Profit/Loss per Bus/Day (Rs.) - 2017-18,Profit/Loss per Bus/Day (Rs.) - 2016-17,Staff Cost as % of Total Cost - 2018-19,Staff Cost as % of Total Cost - 2017-18,Staff Cost as % of Total Cost - 2016-17,Fuel and Lubricant Cost as % of Total Cost - 2018-19,Fuel and Lubricant Cost as % of Total Cost - 2017-18,Fuel and Lubricant Cost as % of Total Cost - 2016-17,Tyres and Tubes Cost as % of Total Cost - 2018-19,Tyres and Tubes Cost as % of Total Cost - 2017-18,Tyres and Tubes Cost as % of Total Cost - 2016-17,Spares Cost as % of Total Cost - 2018-19,Spares Cost as % of Total Cost - 2017-18,Spares Cost as % of Total Cost - 2016-17,Interest Cost as % of Total Cost - 2018-19,Interest Cost as % of Total Cost - 2017-18,Interest Cost as % of Total Cost - 2016-17,Depreciation Cost as % of Total Cost - 2018-19,Depreciation Cost as % of Total Cost - 2017-18,Depreciation Cost as % of Total Cost - 2016-17,Payments to Hired Buses as % of Total Cost - 2018-19,Payments to Hired Buses as % of Total Cost - 2017-18,Payments to Hired Buses as % of Total Cost - 2016-17,Payment for accidents compensation as % of Total Cost - 2018-19,Payment for accidents compensation as % of Total Cost - 2017-18,Payment for accidents compensation as % of Total Cost - 2016-17,Tax Cost as % of Total Cost - 2018-19,Tax Cost as % of Total Cost - 2017-18,Tax Cost as % of Total Cost - 2016-17,Other Costs as % of Total Cost - 2018-19,Other Costs as % of Total Cost - 2017-18,Other Costs as % of Total Cost - 2016-17,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Staff Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Fuel and Lubricant Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Tyres and Tubes Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Spares Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Interest Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Payments to Hired Buses per Revenue Earning Km ((Rs./Rev. Earning Kms) - 2018-19,Payments to Hired Buses per Revenue Earning Km (Rs./Rev. Earning Kms) - 2017-18,Payments to Hired Buses per Revenue Earning Km (Rs./Rev. Earning Kms) - 2016-17,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17
27,PUNBUS,3534.20,3259.40,3385.79,11476.64,10985.58,11128.41,3503.13,3233.14,3349.25,11375.75,10897.06,11008.29,31.07,26.26,36.55,100.88,88.51,120.12,13.21,14.52,12.48,41.56,41.91,37.17,1.31,1.39,1.65,1.08,1.16,3.00,1.02,0.61,0.90,6.03,2.03,2.37,2.21,2.81,3.27,1.07,1.06,2.07,14.13,16.63,14.89,18.39,17.89,22.19,4.63,4.69,4.18,14.56,13.55,12.45,0.46,0.45,0.55,0.38,0.38,1.00,0.36,0.20,0.30,2.11,0.66,0.79,0.78,0.91,1.10,0.37,0.34,0.69,4.95,5.38,4.99,6.44,5.78,7.43
28,State Exp.TC TN Ltd.,3320.46,3043.81,2915.36,16896.16,16121.01,15735.30,4684.43,4174.51,3675.78,23836.71,22109.59,19839.57,-1363.97,-1130.70,-760.42,-6940.55,-5988.58,-4104.26,43.58,40.88,35.81,29.19,27.63,28.54,1.30,1.17,1.40,1.58,1.48,1.62,10.11,10.41,9.77,2.17,2.27,4.00,0.00,0.00,0.00,1.20,1.42,3.69,5.49,5.74,6.10,5.37,9.02,9.08,20.42,17.06,13.16,13.67,11.53,10.49,0.61,0.49,0.51,0.74,0.62,0.59,4.74,4.34,3.59,1.02,0.95,1.47,0.00,0.00,0.00,0.56,0.59,1.36,2.57,2.40,2.24,2.52,3.76,3.34
29,TN STC (Coimbatore) Ltd.,3444.53,3028.03,2684.72,13175.26,11549.97,10688.26,5135.45,5342.03,3704.36,19643.01,20376.34,14747.60,-1690.92,-2313.99,-1019.64,-6467.75,-8826.37,-4059.34,56.54,62.23,53.11,26.94,22.42,28.74,0.75,0.61,0.90,1.68,1.72,2.31,6.85,7.54,6.89,1.84,1.33,1.83,0.00,0.00,0.00,2.06,1.42,1.70,1.46,1.45,1.98,1.88,1.29,2.54,29.03,33.24,19.67,13.84,11.97,10.65,0.38,0.32,0.33,0.86,0.92,0.85,3.52,4.03,2.55,0.95,0.71,0.68,0.00,0.00,0.00,1.06,0.76,0.63,0.75,0.77,0.73,0.96,0.69,0.94
30,TN STC (Kumbakonam) Ltd.,3413.11,2902.17,2631.50,15388.11,13063.80,12051.66,4332.37,4088.01,3399.35,19532.63,18401.73,15568.24,-919.26,-1185.84,-767.85,-4144.52,-5337.94,-3516.58,57.17,58.22,50.98,28.80,26.58,28.91,1.29,1.28,1.68,0.73,0.96,0.93,5.10,5.55,5.60,1.24,1.07,1.77,0.00,0.00,0.00,1.72,2.17,2.89,2.54,2.71,3.26,1.40,1.46,3.97,24.77,23.80,17.33,12.48,10.87,9.83,0.56,0.52,0.57,0.32,0.39,0.32,2.21,2.27,1.90,0.54,0.44,0.60,0.00,0.00,0.00,0.74,0.89,0.98,1.10,1.11,1.11,0.61,0.60,1.35
31,TN STC (Madurai) Ltd.,3604.58,2972.42,2678.18,15830.28,12315.03,11240.03,5158.95,4277.92,3547.60,22656.61,17723.85,14888.90,-1554.37,-1305.50,-869.42,-6826.33,-5408.82,-3648.87,44.74,41.55,41.58,26.30,26.92,29.46,0.74,0.77,0.98,1.42,1.66,1.80,5.92,6.24,5.06,0.04,0.06,0.07,0.86,1.15,1.87,1.54,1.78,2.89,1.22,1.41,1.64,17.23,18.47,14.64,23.08,17.77,14.75,13.57,11.52,10.45,0.38,0.33,0.35,0.73,0.71,0.64,3.05,2.67,1.80,0.02,0.03,0.02,0.44,0.49,0.66,0.79,0.76,1.03,0.63,0.60,0.58,8.89,7.90,5.19
32,TN STC (Salem) Ltd.,3168.30,2740.67,2461.31,11978.77,11916.25,11489.56,4594.08,4818.93,3267.71,17369.40,20952.43,15253.87,-1425.78,-2078.27,-806.40,-5390.63,-9036.18,-3764.30,57.06,61.44,49.73,27.43,22.72,30.44,1.06,1.09,1.46,1.14,1.34,1.51,6.69,5.51,5.32,1.55,0.97,1.84,0.00,0.00,0.00,0.46,1.91,2.94,1.56,1.45,2.06,3.04,3.57,4.69,26.21,29.61,16.25,12.60,10.95,9.95,0.49,0.53,0.48,0.52,0.64,0.49,3.07,2.65,1.74,0.71,0.47,0.60,0.00,0.00,0.00,0.21,0.92,0.96,0.72,0.70,0.67,1.40,1.72,1.53
33,TN STC (Villupuram) Ltd.,3437.75,2875.98,2570.72,16223.35,13706.60,12560.92,4083.85,4611.21,3156.96,19272.42,21976.54,15425.40,-646.10,-1735.23,-586.24,-3049.08,-8269.94,-2864.47,52.41,62.23,51.56,31.02,23.85,31.63,0.90,0.62,1.10,1.77,1.57,2.06,4.39,3.43,3.65,1.25,0.95,1.86,0.00,0.00,0.00,2.87,1.41,1.96,1.62,1.44,2.05,3.76,4.51,4.13,21.40,28.69,16.28,12.67,11.00,9.99,0.37,0.29,0.35,0.72,0.73,0.65,1.79,1.58,1.15,0.51,0.44,0.59,0.00,0.00,0.00,1.17,0.65,0.62,0.66,0.66,0.65,1.54,2.08,1.30
34,TN STC ( Tirunelvell) Ltd.,3392.74,2903.07,2621.10,14077.44,11739.98,10842.01,5541.28,4872.31,3906.04,22992.38,19703.61,16157.09,-2148.55,-1969.25,-1284.94,-8914.94,-7963.63,-5315.08,58.46,54.07,48.28,24.79,24.24,27.79,1.11,1.26,1.50,0.76,0.86,1.19,8.23,11.23,11.13,1.22,1.28,1.65,0.00,0.00,0.00,1.21,1.73,2.01,1.35,1.57,1.98,2.87,3.75,4.48,32.40,26.34,18.86,13.74,11.81,10.85,0.62,0.62,0.59,0.42,0.42,0.46,4.56,5.47,4.35,0.68,0.63,0.65,0.00,0.00,0.00,0.67,0.84,0.79,0.75,0.76,0.77,1.59,1.83,1.75
NA,TOTAL Companies,3584.41,3090.80,2823.09,13891.12,12106.95,11357.28,4868.55,4727.52,3680.56,18867.74,18518.13,14806.92,-1284.15,-1636.72,-857.48,-4976.62,-6411.19,-3449.64,53.18,56.00,49.09,27.61,24.58,28.63,1.03,0.96,1.28,1.46,1.56,1.85,6.27,6.30,5.98,1.48,1.22,1.91,0.19,0.21,0.34,1.59,1.56,2.40,2.19,2.26,2.71,5.00,5.35,5.81,25.89,26.47,18.07,13.44,11.62,10.54,0.50,0.45,0.47,0.71,0.74,0.68,3.05,2.98,2.20,0.72,0.58,0.70,0.09,0.10,0.12,0.78,0.74,0.88,1.07,1.07,1.00,2.44,2.53,2.14
35,Andaman & Nicobar ST,1969.38,1800.86,1552.56,2005.86,1844.46,1689.53,15378.32,14559.78,13161.22,15663.16,14912.33,14322.35,-13408.94,-12758.92,-11608.66,-13657.30,-13067.87,-12632.82,34.60,33.31,32.92,11.05,11.61,12.84,0.93,1.16,1.28,3.26,3.99,2.50,0.00,0.00,0.00,32.95,33.94,36.43,0.22,0.13,0.15,0.27,0.00,0.00,16.73,15.85,13.88,0.00,0.00,0.00,53.22,48.50,43.32,16.99,16.91,16.90,1.43,1.70,1.69,5.02,5.81,3.29,0.00,0.00,0.00,50.67,49.42,47.95,0.33,0.20,0.19,0.41,0.00,0.00,25.72,23.07,18.27,0.00,0.00,0.00
36,Arunachal Pradesh ST,1889.83,2051.28,1996.01,2034.56,2311.88,2285.96,102.60,108.74,115.44,110.46,122.55,132.21,1787.23,1942.55,1880.58,1924.11,2189.33,2153.75,49.88,44.88,42.16,24.87,26.00,28.09,2.46,2.25,2.48,22.79,26.88,27.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.49,0.49,0.26,0.28,0.32,0.03,0.02,0.03,0.23,0.29,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,Chandigarh TU,3495.16,3563.15,4028.03,7261.64,7440.45,8609.41,5593.87,5875.99,6300.66,11621.96,12270.06,13466.87,-2098.70,-2312.84,-2272.63,-4360.32,-4829.60,-4857.46,41.14,43.18,41.92,24.82,25.79,27.86,1.17,1.11,1.09,5.20,4.79,5.83,0.44,0.47,0.37,5.00,5.79,4.55,0.00,0.00,0.00,0.00,0.00,0.00,4.72,4.78,5.04,17.50,14.08,13.33,23.01,25.37,26.41,13.89,15.15,17.55,0.65,0.65,0.69,2.91,2.82,3.68,0.25,0.27,0.23,2.80,3.40,2.87,0.00,0.00,0.00,0.00,0.00,0.00,2.64,2.81,3.18,9.79,8.28,8.40
38,Haryana ST,3313.24,3303.17,3120.52,9311.87,9577.57,9491.69,5407.01,4874.60,4419.40,15196.42,14133.95,13442.52,-2093.77,-1571.43,-1298.89,-5884.55,-4556.38,-3950.83,51.15,50.93,48.49,26.18,24.95,26.02,1.13,1.22,1.35,2.18,2.46,2.60,1.76,1.84,1.89,2.00,2.09,2.00,0.00,0.00,0.00,0.17,0.02,0.07,12.23,12.86,14.32,3.20,3.63,3.25,27.66,24.83,21.43,14.15,12.16,11.50,0.61,0.60,0.60,1.18,1.20,1.15,0.95,0.90,0.84,1.08,1.02,0.89,0.00,0.00,0.00,0.09,0.01,0.03,6.61,6.27,6.33,1.73,1.77,1.44
39,Mizoram ST,3075.79,2274.56,2643.22,1589.71,1014.87,1046.35,42298.85,41187.57,37010.88,21861.98,18377.23,14651.22,-39223.07,-38913.01,-34367.66,-20272.27,-17362.36,-13604.86,78.78,73.82,81.79,4.10,4.96,5.97,1.33,1.24,1.43,4.36,3.19,3.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.43,16.79,7.34,333.24,304.03,302.71,17.33,20.41,22.09,5.64,5.12,5.29,18.42,13.16,12.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.36,69.15,27.15
40,Nagaland ST,2002.29,1682.69,2547.77,958.90,808.71,1369.86,14956.76,13724.86,13706.25,7162.85,6596.27,7369.46,-12954.47,-12042.17,-11158.48,-6203.95,-5787.55,-5999.59,76.83,71.38,68.88,7.65,8.34,14.63,7.12,8.35,9.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.42,0.43,0.02,0.27,0.18,8.00,11.24,6.75,114.92,97.97,94.41,11.44,11.45,20.05,10.65,11.46,12.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.57,0.59,0.02,0.38,0.25,11.96,15.43,9.25
41,State Transport Punjab,8442.12,4568.46,NA,12029.07,7222.25,9683.59,9355.05,6719.94,NA,13329.90,10623.51,11444.20,-912.93,-2151.48,NA,-1300.83,-3401.26,-1760.61,76.79,78.62,75.76,10.47,10.09,14.17,0.66,0.84,0.23,0.96,0.99,0.16,1.16,1.15,1.10,0.15,0.20,0.14,0.00,0.57,0.85,2.27,1.65,0.68,4.91,4.41,5.43,2.64,1.48,1.49,71.83,52.83,NA,9.80,6.78,NA,0.61,0.57,NA,0.90,0.67,NA,1.08,0.77,NA,0.14,0.14,NA,0.00,0.38,NA,2.12,1.11,NA,4.60,2.96,NA,2.47,1.00,NA
42,Sikkim NT ,18957.44,18870.94,18145.42,11573.56,11230.18,10183.11,22821.99,21179.40,19622.17,13932.88,12603.95,11011.86,-3864.55,-2308.45,-1476.75,-2359.32,-1373.77,-828.74,71.77,65.57,70.89,13.93,14.61,15.29,1.07,1.21,0.82,2.32,1.52,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.40,0.45,10.55,16.70,10.65,163.80,138.87,139.10,31.79,30.94,30.01,2.43,2.57,1.61,5.30,3.21,3.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.84,0.89,24.07,35.36,20.90
NA,Total Govt Deptts.,3599.95,3417.58,3616.21,8343.35,8154.94,8527.61,5959.49,5385.24,5351.91,13811.90,12850.12,12620.69,-2359.54,-1967.66,-1735.70,-5468.55,-4695.18,-4093.08,52.75,52.50,50.62,23.14,22.36,23.89,1.22,1.33,1.37,2.36,2.57,2.65,1.42,1.47,1.49,3.67,3.86,3.69,0.01,0.05,0.08,0.33,0.16,0.12,10.70,11.00,11.93,4.41,4.69,4.15,31.43,28.27,27.09,13.79,12.04,12.79,0.73,0.71,0.74,1.41,1.38,1.42,0.85,0.79,0.80,2.19,2.08,1.98,0.01,0.03,0.04,0.19,0.09,0.06,6.37,5.93,6.39,2.63,2.53,2.22
43,Ahmadabad Janmarg Ltd,3429.41,3253.26,3227.23,6388.66,5969.98,6297.79,7159.90,7589.93,7926.41,13338.22,13928.11,15468.00,-3730.49,-4336.67,-4699.17,-6949.56,-7958.13,-9170.21,14.11,12.44,7.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,6.31,14.71,20.38,77.19,71.65,70.49,0.00,0.00,0.00,0.01,0.07,0.01,2.31,1.13,1.52,10.10,9.44,6.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,4.52,11.16,16.15,55.26,54.38,55.88,0.00,0.00,0.00,0.00,0.05,0.00,1.66,0.86,1.20
44,Ahmedabad MTC ,2802.89,2352.91,2232.06,4610.65,3568.85,3432.12,9487.25,8761.66,8253.18,15606.17,13289.54,12690.49,-6684.37,-6408.75,-6021.12,-10995.53,-9720.68,-9258.37,59.17,56.67,48.07,2.14,3.09,4.46,0.10,0.23,0.29,0.48,0.80,1.39,1.74,1.72,1.69,0.00,0.00,0.00,30.79,24.36,24.47,0.00,0.00,0.00,0.45,0.35,3.62,5.13,12.77,16.01,56.14,49.65,39.68,2.03,2.71,3.68,0.09,0.20,0.24,0.45,0.70,1.15,1.65,1.51,1.39,0.00,0.00,0.00,29.21,21.34,20.19,0.00,0.00,0.00,0.43,0.31,2.99,4.87,11.19,13.22
45,BEST Undertaking,6122.95,5866.23,6059.57,8534.04,8314.70,9233.65,12116.15,10922.64,8253.18,15606.17,15481.57,15618.80,-5993.20,-5056.41,-4190.24,-8353.20,-7166.87,-6385.15,67.40,72.52,71.58,16.95,16.61,16.57,0.41,0.41,0.67,2.00,2.43,3.64,5.48,4.53,4.30,1.47,1.90,1.71,0.00,0.00,0.00,0.00,0.00,0.00,1.99,0.10,0.10,4.30,1.51,1.43,81.67,79.21,73.36,20.54,18.14,16.98,0.50,0.44,0.69,2.42,2.65,3.73,6.63,4.95,4.41,1.78,2.07,1.76,0.00,0.00,0.00,0.00,0.00,0.00,2.41,0.11,0.10,5.21,1.65,1.47
46,Kolahpur MTU,6043.74,5446.30,5320.44,9950.32,9778.70,9775.32,6461.12,6474.89,10249.82,16887.24,11625.51,10663.97,-417.38,-1028.59,-483.67,-687.16,-1846.81,-888.65,40.32,35.46,39.13,35.39,29.13,29.90,2.07,1.70,1.09,2.21,1.25,1.82,0.00,0.00,0.00,6.13,13.57,14.93,0.00,0.00,0.76,0.00,0.00,0.00,1.87,1.57,1.62,12.01,17.33,10.76,26.05,22.96,22.71,22.86,18.86,17.36,1.34,1.10,0.63,1.43,0.81,1.06,0.00,0.00,0.00,3.96,8.78,8.66,0.00,0.00,0.44,0.00,0.00,0.00,1.21,1.01,0.94,7.76,11.22,6.24
47,Navi Mumbai MT,4510.64,4352.20,3913.43,10097.46,9655.22,9922.38,6150.86,5677.34,5804.10,10637.49,12594.99,13210.86,-1640.22,-1325.13,-1296.99,-3671.78,-2939.77,-3288.48,23.14,25.90,31.65,30.21,26.14,26.14,1.05,1.04,1.48,7.75,8.28,9.51,0.22,0.32,0.59,10.54,13.06,12.01,18.70,16.82,9.91,0.00,0.00,0.00,2.28,2.13,2.90,6.11,6.30,5.80,14.24,14.70,16.49,18.58,14.84,13.62,0.65,0.59,0.77,4.77,4.70,4.96,0.13,0.18,0.31,6.48,7.42,6.26,11.50,9.55,5.17,0.00,0.00,0.00,1.40,1.21,1.51,3.76,3.58,3.02
48,Pune Mahamandal ,5969.11,5873.59,6594.08,8240.11,9201.51,9658.45,8351.52,7698.43,5210.42,13769.24,12060.29,12477.81,-2382.41,-1824.84,-1924.86,-3288.83,-2858.78,-2819.37,52.74,50.83,53.89,17.26,13.46,9.76,2.78,3.42,2.55,0.00,0.00,0.00,0.11,0.59,0.44,2.48,1.08,1.28,19.39,25.51,27.92,0.27,0.61,0.23,1.18,1.25,0.37,3.78,3.25,3.55,44.05,39.13,45.91,14.41,10.36,8.31,2.32,2.63,2.17,0.00,0.00,0.00,0.09,0.45,0.38,2.07,0.83,1.09,16.20,19.64,23.79,0.23,0.47,0.20,0.99,0.96,0.31,3.16,2.50,3.03
49,Solapur MT,2880.44,2495.51,2977.74,5356.82,3593.53,5756.96,9127.73,4327.98,8518.93,11528.94,6232.29,11824.44,-6247.29,-1832.47,-3138.36,-11618.25,-2638.76,-6067.49,53.26,67.48,39.03,36.34,11.41,25.98,0.41,1.79,1.25,2.84,1.74,2.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.34,0.26,0.54,0.23,0.88,6.52,16.01,29.96,48.61,29.21,23.87,33.17,4.94,15.89,0.37,0.77,0.76,2.59,0.75,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.58,0.16,0.50,0.10,0.54,5.95,6.93,18.33
50,Thane MT,4817.80,5052.50,6611.07,5705.35,5885.34,5648.53,10556.37,17705.33,6116.09,16975.07,20623.84,9949.95,-5738.57,-12652.83,-5034.42,-6795.74,-14738.50,-4301.43,43.18,21.33,57.02,9.58,4.60,17.85,1.78,0.02,0.61,2.53,1.49,4.48,0.00,0.00,0.00,0.00,0.00,5.51,39.44,16.96,8.19,0.87,0.00,0.00,0.88,0.22,5.13,1.74,55.37,1.22,45.58,37.77,66.40,10.11,8.15,20.79,1.88,0.04,0.71,2.67,2.64,5.21,0.00,0.00,0.00,0.00,0.00,6.42,41.63,30.03,9.53,0.92,0.00,0.00,0.93,0.38,5.97,1.84,98.04,1.42
51,Kalyan Dombivali MT,4165.48,4136.11,4402.53,2131.87,2567.49,3758.40,11569.29,9894.83,11645.49,12501.09,6142.22,8225.91,-7403.82,-5758.72,-5233.16,-3789.24,-3574.73,-4467.50,43.86,39.69,37.21,21.43,28.12,29.50,1.04,0.99,0.81,7.27,4.47,6.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.92,0.00,0.00,0.00,2.53,3.01,2.63,23.87,23.72,21.61,50.75,39.27,35.86,24.79,27.83,28.42,1.20,0.98,0.78,8.41,4.42,6.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,0.00,0.00,2.93,2.98,2.54,27.62,23.47,20.82
NA,Total Muncipal undertakings,5352.48,5174.25,5440.32,7724.26,7688.73,8316.37,9947.75,9509.60,9635.68,5921.12,14130.88,13856.27,-4595.28,-4335.35,-3624.04,-6631.53,-6442.15,-5539.91,57.52,57.14,59.81,15.59,13.70,14.06,1.01,1.03,1.07,1.72,1.86,2.73,3.02,2.58,2.58,2.07,2.37,2.74,12.91,12.23,11.91,0.11,0.13,0.05,1.54,0.51,0.86,4.51,8.46,4.20,57.22,54.34,54.21,15.51,13.03,12.74,1.00,0.98,0.97,1.71,1.77,2.47,3.01,2.45,2.33,2.06,2.26,2.48,12.84,11.63,10.79,0.11,0.13,0.05,1.53,0.49,0.78,4.49,8.04,3.80
52,DELHI INTEGRATED MTS,3038.63,3118.90,2965.17,6178.01,6001.63,5452.97,5863.85,5765.15,5088.60,11922.13,11093.73,9357.96,-2825.22,-2646.24,-2123.43,-5744.12,-5092.10,-3904.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.64,57.65,50.89
NA,Total Associate members,3038.63,3118.90,2965.17,6178.01,6001.63,5452.97,5863.85,5765.15,5088.60,11922.13,11093.73,9357.96,-2825.22,-2646.24,-2123.43,-5744.12,-5092.10,-3904.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.64,57.65,50.89
53,Agra-Mathura City TSL,2630.54,2186.07,2334.66,3346.22,2700.88,2778.51,2631.23,2411.90,2343.28,3347.10,2979.89,2788.77,-0.69,-225.83,-8.62,-0.88,-279.01,-10.26,20.91,20.76,19.91,42.91,42.83,43.54,0.00,0.00,0.00,25.42,22.22,21.84,0.00,0.00,0.00,2.77,4.08,7.43,0.00,0.00,0.00,0.89,3.34,2.42,3.91,2.99,1.42,3.19,3.78,3.44,5.50,5.01,4.67,11.29,10.33,10.20,0.00,0.00,0.00,6.69,5.36,5.12,0.00,0.00,0.00,0.73,0.98,1.74,0.00,0.00,0.00,0.23,0.80,0.57,1.03,0.72,0.33,0.84,0.91,0.81
54,Jaipur City TS Ltd.,4087.32,4492.35,3417.51,6970.21,4343.35,4855.93,4949.29,6164.92,5339.57,8440.16,5960.45,7586.97,-861.97,-1672.57,-1922.06,-1469.94,-1617.10,-2731.04,20.15,25.93,19.33,36.26,28.39,29.82,2.97,6.17,7.32,0.00,0.00,0.00,0.00,0.00,0.00,2.63,3.19,4.41,20.40,24.66,23.29,0.00,0.00,0.00,5.28,2.24,0.66,12.32,9.42,15.17,9.97,15.99,10.32,17.95,17.50,15.92,1.47,3.80,3.91,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.97,2.36,10.09,15.20,12.43,0.00,0.00,0.00,2.61,1.38,0.35,6.10,5.80,8.10
55,MEERUT CITY TSL,31834.04,27427.64,35583.23,11767.31,9542.12,10058.32,14067.49,18882.63,19233.73,5199.99,6569.30,5436.80,17766.54,8545.01,16349.50,6567.32,2972.82,4621.52,18.44,14.90,22.05,49.59,33.88,39.95,0.00,0.00,0.00,0.02,0.00,0.18,0.00,0.00,0.00,7.25,33.02,5.48,0.00,0.00,0.00,0.00,1.51,4.74,0.92,1.06,2.41,23.79,15.63,25.18,25.94,28.14,42.41,69.76,63.97,76.85,0.00,0.00,0.00,0.02,0.00,0.35,0.00,0.00,0.00,10.20,62.35,10.54,0.00,0.00,0.00,0.00,2.86,9.12,1.29,2.00,4.64,33.46,29.51,48.44
